model,rmse,mae,mape,smape,pinball_p50,pinball_p10,pinball_p90,coverage_90,interval_width,winkler,calibration_error_p10,calibration_error_p50,calibration_error_p90,delta_from_baseline,delta_pct
baseline,696.3070717962831,389.88038892850835,94.93793372550094,177.4987545672825,194.94019446425418,40.36769989717494,326.9740996000719,0.061016949152542375,58.464340247878766,3673.4179949724685,0.08305084745762713,0.45593220338983054,0.8220338983050848,0.0,0.0
missing_10pct,680.2134898222689,387.13749647023053,93.8703754801291,177.19467193988015,193.56874823511527,40.595145050907064,318.97638986189776,0.07457627118644068,76.72541168385617,3595.7153491280474,0.08983050847457627,0.4661016949152542,0.8152542372881356,-16.093581974014228,-2.311276536729285
missing_30pct,625.7895980275318,383.3293865707508,94.21279557696835,179.66957446843824,191.6646932853754,40.34067435197867,295.7421265594379,0.09830508474576272,109.92438534865202,3360.8280091141655,0.09322033898305085,0.4694915254237288,0.7949152542372881,-70.5174737687513,-10.127352805255212
noise_2x,853.8933556253528,630.0954255734563,65.44109892740858,103.8830522836208,315.04771278672814,90.64049195784526,146.51093416003232,0.9457627118644067,1899.140224185414,2371.5142611787765,0.1,0.4152542372881356,0.045762711864406724,157.58628382906966,22.631722441442374
noise_3x,1090.286312405714,875.7029539654452,55.733661593255704,83.15478905537724,437.8514769827226,147.87650958777482,223.3777699710591,0.9830508474576272,3513.4787331157527,3712.5427955883397,0.1,0.4152542372881356,0.08305084745762714,393.9792406094308,56.58124936072693
outliers_2pct,1239.2556059404603,918.4143732983508,96.36873562126777,184.3739499135716,459.2071866491754,94.25927705005971,539.7555041592453,0.43389830508474575,1384.290318008153,6340.147812093051,0.08983050847457627,0.47627118644067795,0.45593220338983054,542.9485341441772,77.97544447502413
concept_drift,3213.2723482759216,1844.677787293542,94.06261517508698,181.47068650365296,922.338893646771,189.15940828852916,1599.4607312717283,0.03728813559322034,173.79190468427151,17886.201395602573,0.09322033898305085,0.47966101694915253,0.8559322033898306,2516.9652764796383,361.4734616993838
