model,rmse,mae,mape,smape,pinball_p50,pinball_p10,pinball_p90,coverage_90,interval_width,winkler,calibration_error_p10,calibration_error_p50,calibration_error_p90,delta_rmse_vs_all,delta_pct
all,586.9862183904482,479.06981442019486,1838.6151178612256,158.7410061506041,239.53490721009743,153.03583670182203,206.79282884644098,0.13095238095238096,237.50092193048752,3598.2866554826305,0.2833333333333333,0.38095238095238093,0.5190476190476191,,
rolling,558.4048738530597,473.9661635999882,378.6517186729707,162.44400684714344,236.9830817999941,152.06918522313683,225.91941887384482,0.13333333333333333,303.05879429618926,3779.886040969816,0.2888888888888889,0.3666666666666667,0.5111111111111112,-28.58134453738853,-4.8691679024015775
lag,548.628234421266,452.4853440153086,4195.578730086673,158.17592498302045,226.2426720076543,146.56211538185448,220.42188071979902,0.13333333333333333,339.46762927817,3669.8399610165357,0.3,0.4222222222222222,0.5,-38.357983969182214,-6.534733315266264
ratio,598.8357708282258,528.735961839398,24099.558204466197,175.2579101958074,264.367980919699,162.541511123332,157.43452721662993,0.2023809523809524,469.3982935140168,3199.7603833996195,0.33095238095238094,0.46428571428571425,0.39999999999999997,11.849552437777561,2.0187105023129424
time,559.6676385182626,453.00908898921307,2852.5166863668032,159.71999881975088,226.50454449460653,160.91192472051497,225.57824652015677,0.13095238095238096,272.94557737006613,3864.9017124067177,0.2833333333333333,0.38095238095238093,0.5190476190476191,-27.318579872185637,-4.654041102889066
